,cities,lat,long,d1,d2,d3,sharp2,heat2,sharp3,heat3,sharp4,heat4,sharp5,heat5,sharp6,heat6,sharp7,heat7,sharp8,heat8,sharp9,heat9,sharp10,heat10
582,南城,27.568391,116.637729,0.114949366,0.135526926,0.091041978,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_b,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
583,南丰,27.218645,116.52526,0.136788893,0.075533957,0.093960444,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_b,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
584,宜黄,27.554883,116.236264,0.16815908,0.094018519,0.107162858,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Z
585,资溪,27.70593,117.060983,0.141112328,0.089011645,0.096425139,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
586,安远,25.137018,115.393778,0.141590971,0.05083113,0.12925754,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Z
587,崇义,25.681641,114.307825,0.13459621,0.068082871,0.109846832,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_b,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
588,大余,25.401474,114.361938,0.115567468,0.071313806,0.119561145,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
589,定南,24.785489,115.027366,0.191750449,0.016713803,0.144392968,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Z,Cluster 3,Z,Cluster 5,Z,Cluster 4,Z,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Z
590,赣县,25.860747,115.011584,0.101722024,0.090995041,0.106983064,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
591,会昌,25.600397,115.785999,0.180228305,0.077358032,0.094896185,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Z
